CENSUS v1 records=6844 census_bytes=3361382400 census_default_heap=3224543232 census_upload_readback=136839168 d3d12ma_allocated=3361382400 d3d12ma_blocks=3712090112 driver_usage=4096929792 driver_budget=16165400576 swapchain=14764032 pso_creates=6765 pso_compiles=64 pso_driver_eager=1 descheap_bytes=32032768 cmdalloc=36 pso_compile_ms=19.6 pso_compile_max_ms=1.3 d3d12ma_allocated_video=3224543232 d3d12ma_blocks_video=3513581568
# STAGES label driver_usage_bytes census_bytes pso_creates
# STAGE device_created       0 0 0
# kind bytes w h d mips arr samples fmt bind misc usage alias "name"
T 5636096 2048 2048 1 10 1 1 BC7_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/terraintextures/mat20/Color.dds"
T 5636096 2048 2048 1 12 1 1 BC5_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/terraintextures/mat16/Normal.dds"
T 5636096 2048 2048 1 12 1 1 BC5_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/terraintextures/mat30/Normal.dds"
T 5636096 2048 2048 1 12 1 1 BC5_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/terraintextures/mat8/Normal.dds"
T 5636096 2048 2048 1 12 1 1 BC7_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/terraintextures/mat8/Color.dds"
T 5636096 2048 2048 1 10 1 1 BC7_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/terraintextures/mat10/Color.dds"
T 5636096 2048 2048 1 12 1 1 BC5_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/terraintextures/mat29/Normal.dds"
T 5636096 2048 2048 1 12 1 1 BC5_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/terraintextures/mat27/Normal.dds"
T 5636096 2048 2048 1 10 1 1 BC7_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/terraintextures/mat27/Color.dds"
T 5636096 1024 512 1 11 1 1 R32G32_FLOAT 0x48 0x0 0 0 ""
T 5636096 2048 2048 1 10 1 1 BC7_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/terraintextures/mat29/Color.dds"
T 5636096 2048 2048 1 12 1 1 BC5_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/terraintextures/mat1/Normal.dds"
T 5636096 2048 2048 1 10 1 1 BC7_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/terraintextures/mat1/Color.dds"
T 5636096 2048 2048 1 12 1 1 BC3_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max\Files\entitybank\Jungle Collection\Grass\Jungle Grass_color.dds"
T 5636096 2048 2048 1 10 1 1 BC7_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/terraintextures/mat21/Color.dds"
T 5636096 2048 2048 1 12 1 1 BC5_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/terraintextures/mat21/Normal.dds"
T 5636096 2048 2048 1 12 1 1 BC7_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/terraintextures/mat24/Color.dds"
T 5636096 1024 1024 1 11 1 1 R8G8B8A8_UNORM 0x48 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max\Files\databank\bloodsplash2.png"
B 5570560 5529600 0 0 0 0 0 - 0x2 0x0 0 0 "Ocean::indexBuffer"
T 5505024 768 400 1 1 1 1 R32G32B32A32_UINT 0x48 0x0 0 0 "lowres"
T 5505024 1536 801 1 1 1 1 R8G8B8A8_UNORM 0x18 0x0 0 0 "rtFinal"
T 5505024 1536 801 1 1 1 1 R32_FLOAT 0x18 0x0 0 0 "rtCustomDepth"
T 5505024 1536 801 1 1 1 1 R11G11B10_FLOAT 0x58 0x0 0 0 "rtMain"
T 5505024 1536 801 1 1 1 1 R16G16_FLOAT 0x48 0x0 0 0 "res.texture_normals"
T 5505024 1536 801 1 1 1 1 R16G16_FLOAT 0x18 0x400 0 0 "rtParticleDistortion"
T 5505024 1536 801 1 1 1 1 R32_UINT 0x18 0x400 0 0 "rtPrimitiveID"
T 5505024 1536 801 1 1 1 1 R11G11B10_FLOAT 0x18 0x0 0 0 "rtSun[0]"
T 5505024 1536 801 1 1 1 1 R16G16_FLOAT 0x58 0x0 0 0 "rtVelocity"
T 4194304 512 512 1 1 1 1 R32G32B32A32_FLOAT 0x48 0x0 0 0 "displacementMap"
T 4194304 512 512 1 1 1 1 R32G32B32A32_FLOAT 0x0 0x0 2 0 "displacementMap_readback[i]"
T 4194304 512 512 1 1 1 1 R32G32B32A32_FLOAT 0x0 0x0 2 0 "displacementMap_readback[i]"
B 4063232 4033536 0 0 0 0 0 - 0x48 0x8 0 0 "res.binned_tiles"
T 2818048 2048 2048 1 12 1 1 BC1_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max\Files\entitybank\Jungle Collection\Grass\Jungle Grass_normal.dds"
T 2818048 2048 2048 1 12 1 1 BC1_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/terraintextures/mat30/Surface.dds"
T 2818048 2048 2048 1 12 1 1 BC1_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/terraintextures/mat22/Surface.dds"
T 2818048 2048 2048 1 12 1 1 BC1_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/terraintextures/mat27/Surface.dds"
T 2818048 2048 2048 1 12 1 1 BC1_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max\Files\entitybank\Military Collection\Barrels\Black\Black Barrel-Cloth_color.dds"
T 2818048 2048 2048 1 12 1 1 BC1_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max\Files\entitybank\Jungle Collection\Bush\Jungle Bush_surface.dds"
T 2818048 2048 2048 1 12 1 1 BC1_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/terraintextures/mat1/Surface.dds"
T 2818048 2048 2048 1 12 1 1 BC1_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/terraintextures/mat21/Surface.dds"
T 2818048 2048 2048 1 12 1 1 BC1_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max\Files\entitybank\Jungle Collection\Bush\Jungle Bush_normal.dds"
T 2818048 1024 2048 1 12 1 1 BC3_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max\Files\entitybank\Max Collection\Vegetation\Bushes\bush_var2_color.dds"
T 2818048 2048 2048 1 12 1 1 BC1_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/terraintextures/mat8/Surface.dds"
T 2818048 2048 2048 1 12 1 1 BC1_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/terraintextures/mat16/Surface.dds"
T 2818048 2048 2048 1 12 1 1 BC1_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/terraintextures/mat10/Surface.dds"
T 2818048 2048 2048 1 12 1 1 BC1_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/terraintextures/mat20/Surface.dds"
T 2818048 2048 2048 1 12 1 1 BC1_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/terraintextures/mat25/Surface.dds"
T 2818048 2048 2048 1 12 1 1 BC1_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max\Files\entitybank\Jungle Collection\Grass\Jungle Grass_surface.dds"
T 2818048 2048 2048 1 12 1 1 BC1_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/terraintextures/mat24/Surface.dds"
T 2818048 1024 2048 1 12 1 1 BC3_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max\Files\entitybank\Max Collection\Vegetation\Bushes\bush_var1_color.dds"
T 2818048 2048 2048 1 12 1 1 BC1_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max\Files\entitybank\Military Collection\Barrels\Black\Black Barrel-Closed_color.dds"
T 2818048 2048 2048 1 12 1 1 BC1_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/terraintextures/mat26/Surface.dds"
T 2818048 2048 2048 1 12 1 1 BC1_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/terraintextures/mat29/Surface.dds"
T 2818048 512 512 1 10 1 1 R16G16B16A16_FLOAT 0x48 0x0 0 0 "gradientMap"
T 2752512 768 400 1 1 1 1 R16G16B16A16_FLOAT 0x48 0x0 0 0 ""
T 2752512 768 400 1 1 1 1 R16G16B16A16_FLOAT 0x48 0x0 0 0 ""
T 2752512 768 400 1 1 1 1 R16G16B16A16_FLOAT 0x48 0x0 0 0 ""
T 2752512 768 400 1 1 1 1 R16G16B16A16_FLOAT 0x48 0x0 0 0 ""
T 2752512 768 400 1 1 1 1 R16G16B16A16_FLOAT 0x48 0x0 0 0 ""
T 2752512 768 400 1 1 1 1 R16G16B16A16_FLOAT 0x58 0x0 0 0 "rtVolumetricLights"
B 2424832 2407936 0 0 0 0 0 - 0x0 0x0 1 0 "Scene::instanceUploadBuffer"
B 2424832 2407936 0 0 0 0 0 - 0x0 0x0 1 0 "Scene::instanceUploadBuffer"
B 2424832 2407936 0 0 0 0 0 - 0x8 0x8 0 0 "Scene::instanceBuffer"
B 2162688 2117664 0 0 0 0 0 - 0x48 0x8 0 0 ""
B 2097152 2073600 0 0 0 0 0 - 0xF 0x4 1 0 "frame_allocator"
B 2097152 2038272 0 0 0 0 0 - 0x8 0x8 0 0 "Scene::materialBuffer"
B 2097152 2038272 0 0 0 0 0 - 0x0 0x0 1 0 "Scene::materialUploadBuffer"
B 2097152 2038272 0 0 0 0 0 - 0x0 0x0 1 0 "Scene::materialUploadBuffer"
T 1572864 1536 801 1 1 1 1 R8_UNORM 0x18 0x0 0 0 ""
T 1572864 1536 801 1 1 1 1 R8_UNORM 0x18 0x0 0 0 ""
T 1572864 1536 801 1 1 1 1 R8_UNORM 0x18 0x0 0 0 ""
T 1572864 1536 801 1 1 1 1 R8_UNORM 0x48 0x0 0 0 "res.texture_roughness"
T 1572864 768 401 1 1 1 1 R32_FLOAT 0x48 0x0 0 0 ""
T 1507328 1024 2048 1 12 1 1 BC1_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max\Files\entitybank\Max Collection\Vegetation\Bushes\bush_var1_normal.dds"
T 1507328 1024 2048 1 12 1 1 BC1_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max\Files\entitybank\Max Collection\Vegetation\Bushes\bush_var2_surface.dds"
T 1507328 1024 2048 1 12 1 1 BC1_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max\Files\entitybank\Max Collection\Vegetation\Bushes\bush_var2_normal.dds"
T 1507328 1024 2048 1 12 1 1 BC1_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max\Files\entitybank\Max Collection\Vegetation\Bushes\bush_var1_surface.dds"
T 1441792 1024 1024 1 11 1 1 BC3_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/grassbank/weed5_SF_0.43.dds"
T 1441792 1024 1024 1 11 1 1 BC3_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/grassbank/tall grass_mat1_SF_0.87.dds"
T 1441792 1024 1024 1 11 1 1 BC3_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/grassbank/short grass_mat1_SF_1.4.dds"
T 1441792 1024 1024 1 11 1 1 BC3_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/grassbank/tall grass_mat20_SF_0.87.dds"
T 1441792 1024 1024 1 11 1 1 BC3_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/treebank/billboards/scotspine dead_BB_SF_0.7_color.dds"
T 1441792 1024 1024 1 11 1 1 BC3_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/grassbank/seaweed_BB_SF_0.77_color.dds"
T 1441792 1024 1024 1 11 1 1 BC3_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/treebank/textures/sparse pine_branches_color.dds"
