CENSUS v1 records=6340 census_bytes=2428788736 census_default_heap=2343329792 census_upload_readback=85458944 d3d12ma_allocated=2428788736 d3d12ma_blocks=2610561024 driver_usage=2983800832 driver_budget=16165400576 swapchain=14764032 pso_creates=6765 pso_compiles=47 pso_driver_eager=1 descheap_bytes=32032768 cmdalloc=38 pso_compile_ms=13.3 pso_compile_max_ms=1.0 d3d12ma_allocated_video=2343329792 d3d12ma_blocks_video=2463760384
# STAGES label driver_usage_bytes census_bytes pso_creates
# STAGE device_created       0 0 0
# kind bytes w h d mips arr samples fmt bind misc usage alias "name"
B 2293760 2293760 0 0 0 0 0 - 0x4A 0x10816 0 0 "HairParticleSystem::generalBuffer"
B 2162688 2117664 0 0 0 0 0 - 0x48 0x8 0 0 ""
B 2031616 1992192 0 0 0 0 0 - 0x8 0x8 0 0 "Scene::geometryBuffer"
B 2031616 1992192 0 0 0 0 0 - 0x0 0x0 1 0 "Scene::geometryUploadBuffer"
B 2031616 1992192 0 0 0 0 0 - 0x0 0x0 1 0 "Scene::geometryUploadBuffer"
T 1572864 64 64 64 6 1 1 R8G8B8A8_UNORM 0x48 0x0 0 0 "texture_shapeNoise"
T 1572864 1536 801 1 1 1 1 R8_UNORM 0x18 0x0 0 0 ""
T 1572864 1536 801 1 1 1 1 R8_UNORM 0x18 0x0 0 0 ""
T 1572864 1536 801 1 1 1 1 R8_UNORM 0x18 0x0 0 0 ""
T 1572864 768 401 1 1 1 1 R32_FLOAT 0x48 0x0 0 0 ""
T 1441792 1024 1024 1 11 1 1 BC3_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/treebank/billboards/jungletree3b_BB_SF_0.56_color.dds"
T 1441792 1024 1024 1 11 1 1 BC3_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/treebank/billboards/jungletree6a_BB_SF_0.75_color.dds"
T 1441792 1024 1024 1 11 1 1 BC3_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/grassbank/course grass_mat30_SF_1.15.dds"
